,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
39,JR Smith,2747,6,11,11,4,18,0.4,4,1,0,"Quinn Cook, Talen Horton-Tucker, JaVale McGee, Markieff Morris, JR Smith",13,5,9,1,2,0.5909090909090909,0,2019-20,LAL,27.272727272727273,5,11
40,Alex Caruso,1627936,2,5,5,0,2,0.0,1,0,0,"Alex Caruso, Kyle Kuzma, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope",5,1,3,0,0,0.5,4,2019-20,LAL,0.0,1,3
41,Kyle Kuzma,1628398,2,5,5,0,2,0.0,0,0,0,"Alex Caruso, Kyle Kuzma, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope",5,1,3,0,0,0.5,4,2019-20,LAL,0.0,0,3
42,Markieff Morris,202693,2,5,5,0,2,0.0,0,0,0,"Alex Caruso, Kyle Kuzma, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope",5,1,3,0,0,0.5,4,2019-20,LAL,0.0,0,3
43,Anthony Davis,203076,2,5,5,5,2,0.625,2,0,4,"Alex Caruso, Kyle Kuzma, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope",5,1,3,0,0,0.5,4,2019-20,LAL,75.0,2,3
44,Kentavious Caldwell-Pope,203484,2,5,5,0,2,0.0,0,0,0,"Alex Caruso, Kyle Kuzma, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope",5,1,3,0,0,0.5,4,2019-20,LAL,0.0,0,3
45,Alex Caruso,1627936,41,87,84,6,80,0.5,4,2,0,"Alex Caruso, Danny Green, Avery Bradley, Anthony Davis, LeBron James",99,26,45,10,24,0.6125,26,2019-20,LAL,5.172413793103448,6,69
46,Danny Green,201980,41,87,84,8,80,0.5714285714285714,2,3,4,"Alex Caruso, Danny Green, Avery Bradley, Anthony Davis, LeBron James",99,26,45,10,24,0.6125,26,2019-20,LAL,6.896551724137931,5,69
47,Avery Bradley,202340,41,87,84,9,80,0.45,5,5,0,"Alex Caruso, Danny Green, Avery Bradley, Anthony Davis, LeBron James",99,26,45,10,24,0.6125,26,2019-20,LAL,7.758620689655173,10,69
48,Anthony Davis,203076,41,87,84,29,80,0.6363636363636364,14,5,7,"Alex Caruso, Danny Green, Avery Bradley, Anthony Davis, LeBron James",99,26,45,10,24,0.6125,26,2019-20,LAL,25.0,19,69
49,LeBron James,2544,41,87,84,47,80,0.6714285714285714,20,9,15,"Alex Caruso, Danny Green, Avery Bradley, Anthony Davis, LeBron James",99,26,45,10,24,0.6125,26,2019-20,LAL,40.51724137931034,29,69
50,Rajon Rondo,200765,3,7,7,2,9,1.0,1,0,0,"Rajon Rondo, Danny Green, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels",15,3,4,3,4,0.9375,1,2019-20,LAL,21.428571428571427,1,8
51,Danny Green,201980,3,7,7,6,9,1.5,0,2,1,"Rajon Rondo, Danny Green, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels",15,3,4,3,4,0.9375,1,2019-20,LAL,64.28571428571429,2,8
52,Anthony Davis,203076,3,7,7,2,9,0.5,2,0,0,"Rajon Rondo, Danny Green, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels",15,3,4,3,4,0.9375,1,2019-20,LAL,21.428571428571427,2,8
53,Kentavious Caldwell-Pope,203484,3,7,7,5,9,1.25,1,1,0,"Rajon Rondo, Danny Green, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels",15,3,4,3,4,0.9375,1,2019-20,LAL,53.57142857142857,2,8
54,Troy Daniels,203584,3,7,7,0,9,0.0,0,1,0,"Rajon Rondo, Danny Green, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels",15,3,4,3,4,0.9375,1,2019-20,LAL,0.0,1,8
55,Kyle Kuzma,1628398,3,5,6,3,4,0.75,1,1,0,"Kyle Kuzma, Dion Waiters, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",3,0,6,1,1,0.21428571428571427,0,2019-20,LAL,45.0,2,7
56,Dion Waiters,203079,3,5,6,0,4,0.0,2,0,0,"Kyle Kuzma, Dion Waiters, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",3,0,6,1,1,0.21428571428571427,0,2019-20,LAL,0.0,2,7
57,Kentavious Caldwell-Pope,203484,3,5,6,0,4,0.0,0,0,0,"Kyle Kuzma, Dion Waiters, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",3,0,6,1,1,0.21428571428571427,0,2019-20,LAL,0.0,0,7
58,LeBron James,2544,3,5,6,0,4,0.0,3,0,0,"Kyle Kuzma, Dion Waiters, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",3,0,6,1,1,0.21428571428571427,0,2019-20,LAL,0.0,3,7
59,Dwight Howard,2730,3,5,6,0,4,0.0,0,0,0,"Kyle Kuzma, Dion Waiters, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",3,0,6,1,1,0.21428571428571427,0,2019-20,LAL,0.0,0,7
60,Jared Dudley,201162,5,8,8,0,22,0.0,0,0,0,"Jared Dudley, Dion Waiters, LeBron James, Dwight Howard, JR Smith",8,1,3,1,3,0.5,4,2019-20,LAL,0.0,0,6
61,Dion Waiters,203079,5,8,8,0,22,0.0,0,1,0,"Jared Dudley, Dion Waiters, LeBron James, Dwight Howard, JR Smith",8,1,3,1,3,0.5,4,2019-20,LAL,0.0,1,6
62,LeBron James,2544,5,8,8,7,22,0.7,2,2,2,"Jared Dudley, Dion Waiters, LeBron James, Dwight Howard, JR Smith",8,1,3,1,3,0.5,4,2019-20,LAL,65.625,4,6
63,Dwight Howard,2730,5,8,8,1,22,0.25,1,0,2,"Jared Dudley, Dion Waiters, LeBron James, Dwight Howard, JR Smith",8,1,3,1,3,0.5,4,2019-20,LAL,9.375,1,6
64,JR Smith,2747,5,8,8,0,22,0.0,0,0,0,"Jared Dudley, Dion Waiters, LeBron James, Dwight Howard, JR Smith",8,1,3,1,3,0.5,4,2019-20,LAL,0.0,0,6
65,Alex Caruso,1627936,22,47,47,10,47,0.625,4,4,0,"Alex Caruso, JaVale McGee, Anthony Davis, Kentavious Caldwell-Pope, LeBron James",46,13,27,4,14,0.5,12,2019-20,LAL,15.957446808510639,8,41
66,JaVale McGee,201580,22,47,47,8,47,0.6666666666666666,5,0,3,"Alex Caruso, JaVale McGee, Anthony Davis, Kentavious Caldwell-Pope, LeBron James",46,13,27,4,14,0.5,12,2019-20,LAL,12.76595744680851,5,41
67,Anthony Davis,203076,22,47,47,8,47,0.3333333333333333,9,2,2,"Alex Caruso, JaVale McGee, Anthony Davis, Kentavious Caldwell-Pope, LeBron James",46,13,27,4,14,0.5,12,2019-20,LAL,12.76595744680851,11,41
68,Kentavious Caldwell-Pope,203484,22,47,47,5,47,0.4166666666666667,4,2,1,"Alex Caruso, JaVale McGee, Anthony Davis, Kentavious Caldwell-Pope, LeBron James",46,13,27,4,14,0.5,12,2019-20,LAL,7.9787234042553195,6,41
69,LeBron James,2544,22,47,47,15,47,0.5357142857142857,5,6,6,"Alex Caruso, JaVale McGee, Anthony Davis, Kentavious Caldwell-Pope, LeBron James",46,13,27,4,14,0.5,12,2019-20,LAL,23.93617021276596,11,41
70,Alex Caruso,1627936,16,36,31,7,37,0.5833333333333334,4,2,0,"Alex Caruso, Kyle Kuzma, Danny Green, Anthony Davis, LeBron James",48,13,19,5,12,0.7058823529411765,8,2019-20,LAL,14.583333333333334,6,31
71,Kyle Kuzma,1628398,16,36,31,2,37,0.3333333333333333,2,1,0,"Alex Caruso, Kyle Kuzma, Danny Green, Anthony Davis, LeBron James",48,13,19,5,12,0.7058823529411765,8,2019-20,LAL,4.166666666666667,3,31
72,Danny Green,201980,16,36,31,3,37,0.3,0,5,0,"Alex Caruso, Kyle Kuzma, Danny Green, Anthony Davis, LeBron James",48,13,19,5,12,0.7058823529411765,8,2019-20,LAL,6.25,5,31
73,Anthony Davis,203076,16,36,31,14,37,1.0,5,0,5,"Alex Caruso, Kyle Kuzma, Danny Green, Anthony Davis, LeBron James",48,13,19,5,12,0.7058823529411765,8,2019-20,LAL,29.166666666666668,5,31
74,LeBron James,2544,16,36,31,22,37,0.8461538461538461,8,4,3,"Alex Caruso, Kyle Kuzma, Danny Green, Anthony Davis, LeBron James",48,13,19,5,12,0.7058823529411765,8,2019-20,LAL,45.833333333333336,12,31
75,Alex Caruso,1627936,9,16,15,0,11,0.0,1,1,0,"Alex Caruso, Kentavious Caldwell-Pope, Troy Daniels, LeBron James, Dwight Howard",15,6,11,1,5,0.46875,0,2019-20,LAL,0.0,2,16
76,Kentavious Caldwell-Pope,203484,9,16,15,2,11,0.2,3,2,0,"Alex Caruso, Kentavious Caldwell-Pope, Troy Daniels, LeBron James, Dwight Howard",15,6,11,1,5,0.46875,0,2019-20,LAL,9.375,5,16
77,Troy Daniels,203584,9,16,15,5,11,0.8333333333333334,2,1,0,"Alex Caruso, Kentavious Caldwell-Pope, Troy Daniels, LeBron James, Dwight Howard",15,6,11,1,5,0.46875,0,2019-20,LAL,23.4375,3,16
78,LeBron James,2544,9,16,15,4,11,0.5,3,1,0,"Alex Caruso, Kentavious Caldwell-Pope, Troy Daniels, LeBron James, Dwight Howard",15,6,11,1,5,0.46875,0,2019-20,LAL,18.75,4,16
79,Dwight Howard,2730,9,16,15,4,11,1.0,2,0,0,"Alex Caruso, Kentavious Caldwell-Pope, Troy Daniels, LeBron James, Dwight Howard",15,6,11,1,5,0.46875,0,2019-20,LAL,18.75,2,16
80,Kyle Kuzma,1628398,12,27,24,11,19,0.6111111111111112,4,3,4,"Kyle Kuzma, JaVale McGee, Danny Green, Kentavious Caldwell-Pope, LeBron James",38,10,13,4,13,0.6333333333333333,8,2019-20,LAL,30.555555555555557,7,26
81,JaVale McGee,201580,12,27,24,6,19,1.0,2,0,2,"Kyle Kuzma, JaVale McGee, Danny Green, Kentavious Caldwell-Pope, LeBron James",38,10,13,4,13,0.6333333333333333,8,2019-20,LAL,16.666666666666668,2,26
82,Danny Green,201980,12,27,24,6,19,0.6,1,4,0,"Kyle Kuzma, JaVale McGee, Danny Green, Kentavious Caldwell-Pope, LeBron James",38,10,13,4,13,0.6333333333333333,8,2019-20,LAL,16.666666666666668,5,26
