,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
36,Naz Reid,1629675,9,16,18,3,17,0.5,1,2,0,"Malik Beasley, Naz Reid, Anthony Edwards, Jaden McDaniels, Patrick Beverley",13,2,6,3,8,0.43333333333333335,2,2021-22,MIN,14.0625,3,14
37,Anthony Edwards,1630162,9,16,18,5,17,0.35714285714285715,2,4,2,"Malik Beasley, Naz Reid, Anthony Edwards, Jaden McDaniels, Patrick Beverley",13,2,6,3,8,0.43333333333333335,2,2021-22,MIN,23.4375,6,14
38,Jaden McDaniels,1630183,9,16,18,2,17,0.25,3,1,0,"Malik Beasley, Naz Reid, Anthony Edwards, Jaden McDaniels, Patrick Beverley",13,2,6,3,8,0.43333333333333335,2,2021-22,MIN,9.375,4,14
39,Patrick Beverley,201976,9,16,18,0,17,0.0,0,0,0,"Malik Beasley, Naz Reid, Anthony Edwards, Jaden McDaniels, Patrick Beverley",13,2,6,3,8,0.43333333333333335,2,2021-22,MIN,0.0,0,14
40,D'Angelo Russell,1626156,2,5,5,0,6,0.0,0,0,0,"D'Angelo Russell, Karl-Anthony Towns, Jordan McLaughlin, Anthony Edwards, Patrick Beverley",7,1,2,1,1,0.875,2,2021-22,MIN,0.0,0,3
41,Karl-Anthony Towns,1626157,2,5,5,4,6,0.6666666666666666,2,0,2,"D'Angelo Russell, Karl-Anthony Towns, Jordan McLaughlin, Anthony Edwards, Patrick Beverley",7,1,2,1,1,0.875,2,2021-22,MIN,60.0,2,3
42,Jordan McLaughlin,1629162,2,5,5,0,6,0.0,0,0,0,"D'Angelo Russell, Karl-Anthony Towns, Jordan McLaughlin, Anthony Edwards, Patrick Beverley",7,1,2,1,1,0.875,2,2021-22,MIN,0.0,0,3
43,Anthony Edwards,1630162,2,5,5,3,6,1.5,0,1,0,"D'Angelo Russell, Karl-Anthony Towns, Jordan McLaughlin, Anthony Edwards, Patrick Beverley",7,1,2,1,1,0.875,2,2021-22,MIN,45.0,1,3
44,Patrick Beverley,201976,2,5,5,0,6,0.0,0,0,0,"D'Angelo Russell, Karl-Anthony Towns, Jordan McLaughlin, Anthony Edwards, Patrick Beverley",7,1,2,1,1,0.875,2,2021-22,MIN,0.0,0,3
45,D'Angelo Russell,1626156,2,5,5,0,6,0.0,1,0,0,"D'Angelo Russell, Malik Beasley, Jarred Vanderbilt, Naz Reid, Anthony Edwards",3,1,3,0,0,0.5,1,2021-22,MIN,0.0,1,3
46,Malik Beasley,1627736,2,5,5,0,6,0.0,0,0,0,"D'Angelo Russell, Malik Beasley, Jarred Vanderbilt, Naz Reid, Anthony Edwards",3,1,3,0,0,0.5,1,2021-22,MIN,0.0,0,3
47,Jarred Vanderbilt,1629020,2,5,5,0,6,0.0,0,0,0,"D'Angelo Russell, Malik Beasley, Jarred Vanderbilt, Naz Reid, Anthony Edwards",3,1,3,0,0,0.5,1,2021-22,MIN,0.0,0,3
48,Naz Reid,1629675,2,5,5,0,6,0.0,0,0,0,"D'Angelo Russell, Malik Beasley, Jarred Vanderbilt, Naz Reid, Anthony Edwards",3,1,3,0,0,0.5,1,2021-22,MIN,0.0,0,3
49,Anthony Edwards,1630162,2,5,5,3,6,0.75,2,0,1,"D'Angelo Russell, Malik Beasley, Jarred Vanderbilt, Naz Reid, Anthony Edwards",3,1,3,0,0,0.5,1,2021-22,MIN,45.0,2,3
50,D'Angelo Russell,1626156,2,5,4,0,7,0.0,1,0,0,"D'Angelo Russell, Karl-Anthony Towns, Jordan McLaughlin, Anthony Edwards, Jaden McDaniels",6,0,2,2,2,0.75,0,2021-22,MIN,0.0,1,4
51,Karl-Anthony Towns,1626157,2,5,4,3,7,1.5,0,1,0,"D'Angelo Russell, Karl-Anthony Towns, Jordan McLaughlin, Anthony Edwards, Jaden McDaniels",6,0,2,2,2,0.75,0,2021-22,MIN,45.0,1,4
52,Jordan McLaughlin,1629162,2,5,4,0,7,0.0,0,0,0,"D'Angelo Russell, Karl-Anthony Towns, Jordan McLaughlin, Anthony Edwards, Jaden McDaniels",6,0,2,2,2,0.75,0,2021-22,MIN,0.0,0,4
